"","(Intercept)","activity","diet","rank","schooling","Size.FishBase","Status","water_level","df","logLik","AICc","delta","weight"
"55",1.03529063338857,NA,"+",0.0099346151171753,NA,-0.0201049077879954,"+",NA,11,-143.541512291458,312.263747474482,20.8937665679483,6.98080148854851e-06
"47",0.304484232107228,NA,"+",0.0094187183281812,"+",NA,"+",NA,14,-139.517691152505,312.28538230501,20.9154013984767,6.9056942255936e-06
"24",1.1653063049178,"+","+",0.0102139945006421,NA,-0.0204365184533863,NA,NA,12,-142.473335608919,312.751549266618,21.3815683600845,5.46991370661622e-06
"111",-0.233770870637576,NA,"+",0.008145768789663,"+",NA,"+","+",15,-138.400207630221,312.876364627531,21.5063837209971,5.13898279510555e-06
"123",0.48327806628406,NA,"+",NA,"+",-0.0135489989697177,"+","+",15,-138.614048205973,313.304045779034,21.9340648725002,4.14961095616528e-06
"59",1.22815689995399,NA,"+",NA,"+",-0.0161301082272234,"+",NA,14,-140.101756405055,313.45351281011,22.0835319035759,3.85080057718245e-06
"62",0.650387478494911,"+",NA,0.0106071983120571,"+",-0.0142228928932677,"+",NA,12,-142.870805665166,313.546489379112,22.1765084725782,3.67588082532607e-06
"126",0.142462079996082,"+",NA,0.00969305707410868,"+",-0.0127101980411176,"+","+",13,-141.63508033951,313.763987839514,22.3940069329805,3.29710085682575e-06
"119",0.945974656691297,NA,"+",0.00914935566677434,NA,-0.0187706417472418,"+","+",12,-143.302948829488,314.410775707757,23.0407948012237,2.38607467416037e-06
"16",0.459015197279351,"+","+",0.00986938153377988,"+",NA,NA,NA,15,-139.34119140703,314.758332181148,23.3883512746142,2.00545583348199e-06
"92",0.603046701452328,"+","+",NA,"+",-0.0157504245172369,NA,"+",16,-137.905799541117,314.785958056592,23.4159771500584,1.97794503682412e-06
"88",1.12460456081943,"+","+",0.00951688354293901,NA,-0.019206058311026,NA,"+",13,-142.190270971342,314.874369103177,23.5043881966432,1.89241335565925e-06
